target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
404287,24818,3.518669011,0.000419807,0.001436665,2.27E-05,0.105344054,0.000970605,0.908,0.918,3.795122227
404287,24818,9.378995443,0.000934032,0.001229621,3.86E-05,0.098771232,0.001921799,0.908,0.918,3.511023095
404472,16666,5.993058207,0.001053616,0.00034357,1.05E-05,0.124756794,0.002058137,1.038,1.024,2.070204241
404472,16666,21.21932446,0.001678207,0.000381059,1.56E-05,0.213622154,0.003703859,1.038,1.024,2.180223913
404680,7787,14.1642652,0.003164306,0.000258706,1.60E-05,0.286316254,0.006497467,1.034,1.597,2.801649513
404680,7787,20.87102868,0.003232087,0.000286197,1.84E-05,0.317895135,0.007234563,1.034,1.597,2.946744914
404709,38714,27.1072597,0.003316319,0.000140723,1.13E-05,0.215400874,0.007236208,1.02,1.055,1.365021808
404709,38714,60.07913865,0.003756297,0.000208291,1.49E-05,0.288808575,0.007588681,1.02,1.055,1.660707542
404842,47685,4.076276722,0.001620802,0.000238295,1.35E-05,0.099141213,0.003323027,0.786,0.779,1.311597041
404842,47685,21.38590007,0.002194132,0.000432038,3.49E-05,0.079355676,0.004378739,0.786,0.779,1.766053642
405114,40407,9.235955425,0.000474515,0.001279595,1.72E-05,0.135761311,0.000997693,0.924,1.084,4.229323751
405114,40407,26.62730901,0.00080183,0.001301641,2.47E-05,0.188841577,0.00174083,0.924,1.084,4.265601017
405452,80234,19.47873839,0.001344901,0.000198639,7.29E-06,0.161093842,0.002875036,0.932,1.064,1.635608231
405452,80234,27.32637751,0.00359073,8.89E-05,7.36E-06,0.224317852,0.007573825,0.932,1.064,1.094114931
405723,3753,28.40630586,0.002692107,0.001024653,6.52E-05,0.178378288,0.005327036,0.788,0.736,2.56963555
405723,3753,53.4821726,0.001650962,0.002284276,8.68E-05,0.195526015,0.003533819,0.788,0.736,3.836696401
405830,42128,3.797550037,0.000251289,0.000429276,3.90E-06,0.108258039,0.000563812,1.038,1.104,2.494840735
405830,42128,7.279321433,0.000251469,0.00056497,7.63E-06,0.063559827,0.000645103,1.038,1.104,2.862113811
